0,1,39,0,1,0,4,40
0,1,50,2,1,3,4,13
0,1,38,1,2,5,4,40
0,1,53,1,3,5,2,40
0,0,28,1,1,9,2,40
0,0,37,1,4,3,4,40
0,0,49,1,3,7,2,16
1,1,52,2,2,3,4,45
1,0,31,1,4,9,4,50
1,1,42,1,1,3,4,40
1,1,37,1,2,3,2,80
1,1,30,0,1,9,1,40
0,0,23,1,1,0,4,30
0,1,32,1,0,11,2,50
1,1,40,1,0,2,1,40
0,1,34,1,3,13,0,45
0,1,25,2,2,4,4,35
0,1,32,1,2,6,4,40
0,1,38,1,3,11,4,50
1,0,43,2,4,3,4,45
1,1,40,1,5,9,4,60
0,0,54,1,2,7,2,20
0,1,35,0,3,4,2,40
0,1,43,1,3,13,4,40
0,0,59,1,2,12,4,40
1,1,56,0,1,12,4,40
0,1,19,1,2,2,4,40
0,1,39,1,2,3,4,80
0,1,49,1,2,2,4,40
0,1,23,0,0,10,4,52
0,1,20,1,2,11,2,44
0,1,45,1,1,3,4,40
0,1,30,0,2,0,4,40
0,1,22,0,2,7,2,15
0,1,48,1,3,6,4,40
0,1,21,1,2,6,4,40
0,0,19,1,2,0,4,25
1,1,31,1,2,11,4,38
0,1,48,2,0,9,4,40
0,1,31,1,3,6,4,43
0,1,53,2,1,9,4,40
0,1,24,1,1,12,4,50
0,0,49,1,2,0,4,40
0,1,25,1,2,5,4,35
1,1,57,0,1,9,2,40
0,1,53,1,2,6,4,38
0,0,44,1,4,3,4,40
0,1,41,0,0,2,4,40
0,1,29,1,0,9,4,43
0,0,25,1,2,3,3,40
0,0,18,1,2,7,4,30
1,0,47,1,5,9,4,60
1,1,50,0,1,3,4,55
0,1,47,2,2,3,4,60
1,1,43,1,2,12,4,40
0,1,46,1,3,6,4,40
0,1,35,1,0,7,4,40
0,1,41,1,2,0,4,48
0,1,30,1,2,6,4,40
0,1,30,1,1,11,4,40
0,1,48,1,2,13,4,40
1,1,42,1,5,9,4,45
0,1,29,1,2,12,4,58
0,1,36,1,2,2,4,40
0,0,28,1,2,0,4,40
1,0,53,1,2,0,4,40
1,1,49,2,2,3,4,50
0,1,19,1,2,9,4,32
0,0,31,1,1,11,2,40
1,1,29,2,1,11,4,70
0,1,23,1,2,6,4,40
0,1,79,1,2,9,4,20
0,1,27,1,2,7,4,40
0,1,40,1,0,0,4,40
0,0,18,1,3,7,4,22
0,1,31,0,3,4,4,40
0,1,18,1,2,11,4,30
0,1,52,1,1,7,4,40
0,0,46,1,2,7,4,40
0,1,59,1,2,11,4,48
1,0,44,1,2,2,4,40
0,0,53,1,2,11,4,35
1,1,49,0,2,10,4,40
0,1,33,1,4,9,4,50
0,1,30,1,3,11,4,40
1,0,43,0,5,9,4,50
0,1,57,1,0,9,4,40
0,0,37,1,2,2,4,40
0,0,28,1,2,6,2,25
0,0,30,1,2,11,1,35
1,1,34,0,1,10,4,40
0,1,29,0,2,5,4,50
1,1,48,2,5,9,4,60
1,1,37,1,2,11,4,48
0,0,48,1,0,3,4,40
0,1,32,0,2,7,2,40
1,1,76,1,4,3,4,40
1,1,44,1,1,3,4,60
0,0,47,2,4,9,4,50
0,0,20,1,2,12,4,40
